Word,Count
vf,5380
monshou,2106
le,1617
de,1531
no,1382
en,1191
dragon,1155
e,1134
chapitre,1129
o,1068
roto,1055
quest,1054
tsugu,1054
monotachi,1054
retsuden,1053
les,975
scan,852
site,850
ligne,849
the,834
petites,782
fraises,781
player,698
à,672
bug,661
sondage,578
volume,565
vous,517
ou,511
est,507
dons,504
publicités,502
ici,502
décider,500
japscan,499
cliquez,499
date,495
pour,488
sur,456
avec,453
notre,432
amis,428
2022,428
vos,425
lecture,424
nombre,424
rapidement,424
informations,423
langue,423
april,423
pages,423
navigation,423
japscanws,423
lire,423
partagez,423
fr,423
français,421
la,389
précédent,376
attachemoi,363
a,362
12,349
suivant,336
manga,314
of,307
des,267
et,231
samadhi,231
2,230
11,227
1,222
du,180
10,166
to,156
mangas,154
3,147
manhwa,142
my,139
love,134
14,131
un,130
13,128
4,127
dans,123
i,122
cours,118
une,113
20,113
19,108
star,107
5,107
6,106
18,106
one,105
26,105
sea,103
hot,102
be,101
9,100
27,99
